specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 01.03.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Общая;26;13;0.5
Sp 01.03.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Особая;3;1;0.3333333333333333
Sp 01.03.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 01.03.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 01.03.02;Прикладное программирование и анализ данных;УУНиТ;Очная;Бюджетная основа;Общая;27;12;0.4444444444444444
Sp 01.03.02;Прикладное программирование и анализ данных;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 01.03.02;Прикладное программирование и анализ данных;УУНиТ;Очная;Бюджетная основа;Отдельная;3;1;0.3333333333333333
Sp 01.03.02;Прикладное программирование и анализ данных;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 01.03.02;Мобильные, облачные и интеллектуальные технологии;УУНиТ;Очная;Бюджетная основа;Общая;27;4;0.14814814814814814
Sp 01.03.02;Мобильные, облачные и интеллектуальные технологии;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 01.03.02;Мобильные, облачные и интеллектуальные технологии;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 01.03.02;Мобильные, облачные и интеллектуальные технологии;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 01.03.02;Математическое моделирование и искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Общая;28;9;0.32142857142857145
Sp 01.03.02;Математическое моделирование и искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 01.03.02;Математическое моделирование и искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 01.03.02;Математическое моделирование и искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Общая;17;8;0.47058823529411764
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Особая;2;1;0.5
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Общая;12;12;1.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Особая;2;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Отдельная;2;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;25;16;0.64
Sp 01.03.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 01.03.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 01.03.04;Прикладная математика;УУНиТ;Очная;Бюджетная основа;Общая;22;1;0.045454545454545456
Sp 01.03.04;Прикладная математика;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 01.03.04;Прикладная математика;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 01.03.04;Прикладная математика;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 01.03.05;Статистика;УУНиТ;Очная;Бюджетная основа;Общая;20;13;0.65
Sp 01.03.05;Статистика;УУНиТ;Очная;Бюджетная основа;Особая;2;0;0.0
Sp 01.03.05;Статистика;УУНиТ;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 01.03.05;Статистика;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 01.04.01;Математика;УУНиТ;Очная;Бюджетная основа;Общая;12;2;0.16666666666666666
Sp 01.04.01;Математика;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.04.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Общая;15;6;0.4
Sp 01.04.02;Прикладная математика и информатика;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.04.02;Искусственный интеллект в кибербезопасности;УУНиТ;Очная;Бюджетная основа;Общая;11;7;0.6363636363636364
Sp 01.04.02;Математическое моделирование, численные методы и комплексы программ;УУНиТ;Очная;Бюджетная основа;Общая;11;0;0.0
Sp 01.04.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;15;15;1.0
Sp 01.04.02;Искусственный интеллект в кибербезопасности;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.04.02;Математическое моделирование, численные методы и комплексы программ;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 01.04.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;0;0.0
